date,AQI
2023-07-17,55.0
2023-07-18,58.333333333333336
2023-07-19,50.5
2023-07-20,55.666666666666664
2023-07-21,60.666666666666664
2023-07-22,60.0
2023-07-23,55.0
2023-07-24,60.666666666666664
2023-07-25,64.33333333333333
2023-07-26,56.0
2023-07-27,60.333333333333336
2023-07-28,60.666666666666664
2023-07-29,57.0
2023-07-30,55.333333333333336
2023-07-31,71.66666666666667
2023-08-01,52.666666666666664
2023-08-02,53.0
2023-08-03,51.333333333333336
2023-08-04,52.333333333333336
2023-08-05,54.0
2023-08-06,54.666666666666664
2023-08-07,55.666666666666664
2023-08-08,54.0
2023-08-09,46.666666666666664
2023-08-10,43.666666666666664
2023-08-11,44.333333333333336
2023-08-12,45.0
2023-08-13,44.666666666666664
2023-08-14,47.5
2023-08-15,52.333333333333336
2023-08-16,48.666666666666664
2023-08-17,51.0
2023-08-18,51.666666666666664
2023-08-19,46.666666666666664
2023-08-20,44.0
2023-08-21,26.0
2023-08-22,46.666666666666664
2023-08-23,52.666666666666664
2023-08-24,50.333333333333336
2023-08-25,52.0
2023-08-26,47.0
2023-08-27,51.333333333333336
2023-08-28,63.333333333333336
2023-08-29,70.0
2023-08-30,71.0
2023-08-31,67.66666666666667
2023-09-01,54.333333333333336
2023-09-02,34.333333333333336
2023-09-03,31.666666666666668
2023-09-04,40.0
2023-09-05,45.0
2023-09-06,49.0
2023-09-07,62.666666666666664
2023-09-08,61.333333333333336
2023-09-09,57.0
2023-09-10,47.666666666666664
2023-09-11,57.0
2023-09-12,52.0
2023-09-13,48.666666666666664
2023-09-14,49.0
2023-09-15,53.0
2023-09-16,61.0
2023-09-17,41.0
2023-09-18,43.333333333333336
2023-09-19,49.0
2023-09-20,44.666666666666664
2023-09-21,53.666666666666664
2023-09-22,65.0
2023-09-23,64.66666666666667
2023-09-24,62.0
2023-09-25,64.5
2023-09-26,62.333333333333336
2023-09-27,64.0
2023-09-28,55.333333333333336
2023-09-29,51.333333333333336
2023-09-30,33.666666666666664
2023-10-01,26.666666666666668
2023-10-02,46.0
2023-10-03,51.0
2023-10-04,53.333333333333336
2023-10-05,54.333333333333336
2023-10-06,64.66666666666667
2023-10-07,58.333333333333336
